Date,Average_price
092/11/01,185
092/11/03,193
092/11/04,205
092/11/05,198
092/11/06,210
092/11/07,185
092/11/08,171
092/11/10,180
092/11/11,172
092/11/12,190
092/11/13,176
092/11/14,204
092/11/15,171
092/11/17,158
092/11/18,175
092/11/19,186
092/11/20,177
092/11/21,159
092/11/22,147
092/11/23,134
092/11/25,150
092/11/26,163
092/11/27,156
092/11/28,175
092/11/29,155
092/12/01,182
092/12/02,169
092/12/03,195
092/12/04,193
092/12/05,216
092/12/06,199
092/12/07,182
092/12/08,165
092/12/10,189
092/12/11,208
092/12/12,186
092/12/13,178
092/12/15,173
092/12/16,186
092/12/17,177
092/12/18,190
092/12/19,180
092/12/20,189
092/12/21,184
092/12/22,183
092/12/23,194
092/12/24,181
092/12/25,171
092/12/26,166
092/12/27,154
092/12/29,151
092/12/30,140
092/12/31,131
093/01/02,133
093/01/03,110
093/01/04,107
093/01/05,83
093/01/06,68
093/01/07,69
093/01/09,74
093/01/10,74
093/01/11,74
093/01/12,68
093/01/13,63
093/01/14,71
093/01/15,80
093/01/16,124
093/01/17,127
093/01/18,113
093/01/19,95
093/01/20,92
093/01/21,98
093/01/27,120
093/01/28,142
093/01/29,143
093/01/30,166
093/01/31,179
093/02/01,169
093/02/02,165
093/02/03,159
093/02/04,144
093/02/05,177
093/02/08,208
093/02/09,225
093/02/10,241
093/02/11,200
093/02/12,147
093/02/13,153
093/02/14,159
093/02/16,169
093/02/17,160
093/02/18,151
093/02/19,161
093/02/20,165
093/02/21,173
093/02/23,130
093/02/24,126
093/02/25,125
093/02/26,138
093/02/27,141
093/02/28,120
093/03/01,108
093/03/02,110
093/03/03,123
093/03/04,136
093/03/05,131
093/03/06,157
093/03/08,128
093/03/09,161
093/03/10,182
093/03/11,197
093/03/12,161
093/03/13,131
093/03/15,105
093/03/16,88
093/03/17,88
093/03/18,75
093/03/19,68
093/03/20,59
093/03/22,63
093/03/23,63
093/03/24,55
093/03/25,63
093/03/26,76
093/03/27,81
093/03/29,92
093/03/30,85
093/03/31,87
093/04/01,77
093/04/02,100
093/04/03,116
093/04/04,107
093/04/05,98
093/04/08,89
093/04/09,100
093/04/10,91
093/04/12,103
093/04/13,80
093/04/14,75
093/04/15,98
093/04/16,85
093/04/17,115
093/04/18,82
093/04/20,142
093/04/21,159
093/04/22,153
093/04/23,144
093/04/24,116
093/04/26,122
093/04/27,115
093/04/28,124
093/04/29,103
093/04/30,100
093/05/01,123
093/05/02,127
093/05/03,125
093/05/05,110
093/05/06,92
093/05/07,88
093/05/08,91
093/05/09,83
093/05/10,55
093/05/11,61
093/05/13,80
093/05/14,98
093/05/15,98
093/05/17,79
093/05/18,76
093/05/19,88
093/05/20,85
093/05/21,78
093/05/22,100
093/05/24,102
093/05/25,94
093/05/26,119
093/05/27,129
093/05/28,146
093/05/29,170
093/05/31,163
093/06/01,162
093/06/02,159
093/06/03,161
093/06/04,160
093/06/05,149
093/06/07,145
093/06/08,136
093/06/09,121
093/06/10,118
093/06/11,124
093/06/12,110
093/06/14,133
093/06/15,101
093/06/16,95
093/06/17,89
093/06/18,114
093/06/19,105
093/06/20,95
093/06/21,87
093/06/22,100
093/06/24,84
093/06/25,92
093/06/26,82
093/06/28,71
093/06/29,87
093/06/30,86
093/07/01,102
093/07/02,107
093/07/03,95
093/07/06,0
093/07/07,116
093/07/08,103
093/07/09,101
093/07/10,99
093/07/12,85
093/07/13,85
093/07/14,88
093/07/15,99
093/07/16,117
093/07/17,113
093/07/19,96
093/07/20,83
093/07/21,86
093/07/22,90
093/07/23,94
093/07/24,89
093/07/26,86
093/07/27,97
093/07/28,91
093/07/29,102
093/07/30,104
093/07/31,134
093/08/02,130
093/08/03,153
093/08/04,168
093/08/05,163
093/08/06,151
093/08/07,130
093/08/09,175
093/08/10,153
093/08/11,148
093/08/12,145
093/08/13,138
093/08/14,143
093/08/15,132
093/08/17,122
093/08/18,119
093/08/19,121
093/08/20,122
093/08/21,127
093/08/22,90
093/08/25,69
093/08/26,157
093/08/27,135
